fid,TreeID,Family,Genus,species,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"82","142071",Melastomataceae,Henriettea,flavescens,285471.949499875,581507.99075,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"83","142072",Siparunaceae,Siparuna,decipiens,285472.065354375,581507.60675,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"84","142073",Ochnaceae,Lacunaria,crenata,285471.855382425,581506.91655,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"85","142074",Ochnaceae,Lacunaria,crenata,285472.7477915,581507.0775,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"86","142075",Malvaceae,Theobroma,guianense,285473.1496448,581507.8248,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"87","142076",Sapotaceae,Pouteria,singularis,285473.4971984,581506.6728,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"88","142077",Chrysobalanaceae,Hymenopus,heteromorphus,285471.88800375,581504.72925,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"89","142078",Annonaceae,Duguetia,calycina,285474.259278975,581504.49335,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"90","142079",Vochysiaceae,Qualea,rosea,285471.8608746,581503.7796,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"91","142080",Burseraceae,Protium,opacum,285471.697967,581503.6265,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"92","142081",Myristicaceae,Virola,michelii,285471.363112125,581503.00375,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"93","142082",Ochnaceae,Quiina,integrifolia,285469.8770368,581502.0384,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"94","142083",Vochysiaceae,Qualea,rosea,285471.402962875,581502.17865,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"95","142085",Melastomataceae,Mouriri,huberi,285473.15875905,581502.59655,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"96","142087",Fabaceae,Inga,loubryana,285474.57786895,581503.43735,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"97","142089",Myristicaceae,Iryanthera,sagotiana,285474.54534665,581500.07985,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"98","142090",Annonaceae,Anaxagorea,dolichocarpa,285468.82174795,581501.72435,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"99","142091",Vochysiaceae,Qualea,rosea,285469.17838765,581500.8889,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"100","142092",Lecythidaceae,Lecythis,persistens,285470.688096,581499.3504,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"101","142094",Malvaceae,Theobroma,guianense,285468.8849947,581503.9402,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"102","142095",Chrysobalanaceae,Licania,alba,285469.6759251,581507.20955,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"103","142096",Myristicaceae,Iryanthera,hostmannii,285473.65106175,581506.50935,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"104","142097",Meliaceae,Carapa,surinamensis,285471.880797125,581503.36705,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"105","142098",Lecythidaceae,Lecythis,persistens,285472.8764832,581499.37395,"142097",14.2,"70",Meliaceae,,surinamensis,285471.880797125,581503.36705
"106","142324",Melastomataceae,Mouriri,sagotiana,285453.7926713,581566.09145,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"107","142326",Rubiaceae,Margaritopsis,kappleri,285454.65821575,581565.30275,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"108","142330",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",285455.512976425,581565.24315,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"109","142396",Vochysiaceae,Qualea,rosea,285453.0891835,581573.6237,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"110","142397",Salicaceae,Casearia,"sp,1 CAY-ATDN",285453.52362775,581572.1837,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
"111","142398",Annonaceae,Unonopsis,stipitata,285453.52362775,581572.1837,"142580",14.8,"85",Clusiaceae,,"sp,1",285456.0913184,581569.9136
