fid,TreeID,Family,Genus,species,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"219","153635",Arecaceae,Oenocarpus,bataua,285592.022235625,581574.47175,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"220","153636",Chrysobalanaceae,Licania,membranacea,285593.930625,581576.8175,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"221","153637",Meliaceae,Guarea,costata,285594.7372864,581576.2208,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"222","153637",Meliaceae,Guarea,costata,285594.7372864,581576.2208,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"223","153638",Sapotaceae,Pouteria,bangii,285594.862109025,581576.15335,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"224","153641",Metteniusaceae,Poraqueiba,guianensis,285597.4631666,581576.1951,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"225","153642",Siparunaceae,Siparuna,cuspidata,285596.9444101,581576.87745,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"226","153653",Annonaceae,Xylopia,nitida,285594.787086225,581573.62095,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"227","153654",Apocynaceae,Couma,guianensis,285594.634139125,581572.73875,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"228","153656",Chrysobalanaceae,Licania,canescens,285594.0490096,581572.2509,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"229","153658",Chrysobalanaceae,Gaulettia,parillo,285595.30732955,581570.8473,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"230","153661",Apocynaceae,Tabernaemontana,macrocalyx,285593.326719825,581575.69655,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
