TreeID,Family,Genus,species,DBH,Xutm,Yutm
"141159",Lecythidaceae,Eschweilera,coriacea,21.00845249,285447.64496405,581497.4101
"141160",Lauraceae,Sextonia,rubra,54.74930042,285450.1882908,581497.64385
"141161",Annonaceae,Oxandra,asbeckii,12.73239545,285451.7072816,581496.4219
"141162",Chrysobalanaceae,Licania,ovalifolia,19.73521294,285451.787236,581494.7717
"141163",Burseraceae,Protium,subserratum,1.6,285447.445312725,581491.49165
"141164",Anacardiaceae,Thyrsodium,puberulum,2.7,285444.66074815,581501.7533
"141165",Sapotaceae,Chrysophyllum,sanguinolentum,1.6,285446.148833,581501.673
"141169",Vochysiaceae,Ruizterania,albiflora,2.2,285445.5711753,581502.54735
"141197",Fabaceae,Recordoxylon,speciosum,45.67746867,285443.5523648,581504.0391
"190401",Lecythidaceae,Eschweilera,prelevee,5,285448.83738885,581476.8397
"190402",Myristicaceae,Iryanthera,hostmannii,1.5,285450.86699325,581474.61885
"190403",Annonaceae,Oxandra,asbeckii,4.6,285452.37900955,581472.0347
"190404",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1,285450.2108487,581471.5986
"190405",Fabaceae,Swartzia,arborescens,1.6,285450.55446185,581472.5379
"190410",Lecythidaceae,Lecythis,persistens,17.18873385,285450.962913,581474.6474
"190427",Lecythidaceae,Lecythis,persistens,1.1,285450.75948375,581470.82025
"190430",Fabaceae,Inga,rubiginosa,1.2,285452.324775,581465.63625
"190431",Annonaceae,Cymbopetalum,brasiliensis,1.4,285453.995356,581465.2965
"190435",Rubiaceae,Palicourea,quadrifolia,1.3,285455.565284775,581462.52035
"190436",Myristicaceae,Iryanthera,hostmannii,3.5,285453.2613052,581462.8808
"190458",Rubiaceae,Palicourea,quadrifolia,1.1,285456.39400577,581459.4294
"190460",Myrtaceae,Eugenia,brownsbergii,1.7,285457.054616375,581456.89525
"190461",Rubiaceae,Palicourea,quadrifolia,1.5,285457.702258,581456.4812
"190462",Lauraceae,Sextonia,rubra,0.9,285457.96261576,581454.9265
"190463",Annonaceae,Anaxagorea,acuminata,0.9,285457.86066195,581454.5718
"190464",Myrtaceae,Eugenia,pseudopsidium,1.3,285456.261933235,581453.6355
"190476",Lecythidaceae,Lecythis,persistens,22.44084698,285456.314216,581457.6165
"190482",Annonaceae,Oxandra,asbeckii,1.6,285456.58270189,581451.1885
"190484",Burseraceae,Dacryodes,nitens,1.5,285458.15693425,581446.32105
"190485",Myristicaceae,Iryanthera,hostmannii,0.9,285458.418782275,581446.83845
"190486",Sapindaceae,Talisia,megaphylla,6.3,285458.55477725,581446.0419
"190488",Moraceae,Brosimum,guianensis,7,285459.882606265,581446.14425
"190489",Annonaceae,Annona,foetida,0.8,285460.57029772,581444.9051
"190490",Myristicaceae,Iryanthera,sagotiana,7.3,285461.458714,581444.0396
"190494",Malvaceae,Sterculia,speciosa,61.43380803,285457.899435833,581447.86615
"190506",Annonaceae,Annona,prelevee,1,285461.09420748,581442.13145
"190507",Chrysobalanaceae,Hymenopus,heteromorphus,1,285461.338412145,581442.3611
"190508",Annonaceae,Annona,foetida,1.5,285462.088416132,581438.83865
"190508",Annonaceae,Annona,foetida,1.2,285462.088416132,581438.83865
"190509",Annonaceae,Annona,foetida,1.2,285462.938408985,581437.0619
"190509",Annonaceae,Annona,foetida,1.3,285462.938408985,581437.0619
"190510",Rubiaceae,Amaioua,guianensis,1.1,285461.754670258,581435.09815
"190511",Cordiaceae,Cordia,nodosa,1.1,285461.208322847,581434.83085
"190541",Elaeocarpaceae,Sloanea,"sp,14 CAY-ATDN",1.1,285463.49410241,581429.6835
"190542",Lecythidaceae,Lecythis,persistens,2.7,285463.57131318,581432.1967
"190543",Burseraceae,Protium,sagotianum,1.1,285463.77688225,581431.16975
"190544",Lecythidaceae,Lecythis,persistens,1.7,285465.22710401,581427.75115
"190545",Chrysobalanaceae,Hirtella,racemosa,1.2,285466.368078133,581426.74115
"190546",Humiriaceae,Vantanea,parviflora,1.9,285466.6267395,581426.9228
"190547",Cordiaceae,Cordia,nodosa,2.8,285464.874545167,581426.14995
"190548",Chrysobalanaceae,Couepia,guianensis,1.1,285465.61147732,581424.7476
"190550",Chrysobalanaceae,Couepia,guianensis,2.5,285463.86778642,581423.6006
"190555",Clusiaceae,Moronobea,coccinea,10.98169107,285463.810476683,581424.82865
"190568",Sapotaceae,Pouteria,jariensis,1,285464.98982875,581420.23075
"190569",Chrysobalanaceae,Licania,alba,1.6,285465.467044,581416.92
"190572",Chrysobalanaceae,Licania,canescens,1.7,285466.4436247,581417.8386
"190573",Sapotaceae,Pouteria,cicatricata,7.4,285466.4347105,581417.52205
"190574",Chrysobalanaceae,Hirtella,bicornis,8.6,285468.265263475,581418.38105
"190575",Lecythidaceae,Lecythis,persistens,3.2,285468.6599136,581417.76615
"190576",Burseraceae,Protium,opacum,7,285467.42469215,581416.6659
"190577",Meliaceae,Guarea,costata,1.4,285467.71343685,581416.228725
"190577",Meliaceae,Guarea,costata,4.9,285467.71343685,581416.228725
"190578",Annonaceae,Annona,prelevee,1,285467.444764375,581416.25335
