TreeID,Family,Genus,species,DBH,Xutm,Yutm
193145,Lecythidaceae,Eschweilera,sagotiana,2.8,285516.6968832,581435.5232
193146,Chrysobalanaceae,Licania,alba,1,285516.329606875,581437.08775
193147,Chrysobalanaceae,Licania,alba,1.5,285516.8162129,581438.5927
193148,Clusiaceae,Tovomita,obovata,1.5,285519.647377775,581437.86645
193149,Burseraceae,Protium,opacum,1.2,285519.954912925,581437.53955
193150,Annonaceae,Unonopsis,stipitata,1.3,285520.32033542503,581437.02065
193151,Clusiaceae,Garcinia,benthamiana,2.4,285520.39812355,581436.4161
193152,Annonaceae,Oxandra,asbeckii,6.2,285520.627867875,581436.69375
193153,Meliaceae,Guarea,costata,1.6,285520.71470025,581436.40575
193154,Fabaceae,Platymiscium,pinnatum,1.1,285522.1546619,581435.78835
193155,Peraceae,Pogonophora,schomburgkiana,1.2,285521.751258,581436.0867
193157,Myristicaceae,Iryanthera,sagotiana,1.2,285522.32472325,581437.30365
193159,Phyllanthaceae,Amanoa,guianensis,1,285522.47669445,581438.18585
193160,Sapotaceae,Pouteria,bangii,1.6,285523.4535852,581439.10445
193161,Fabaceae,Inga,acreana,1.9,285523.0212398,581439.4988
193162,Malvaceae,Catostemma,fragrans,3.4,285523.0302938,581439.81535
193163,Annonaceae,Unonopsis,stipitata,1.7,285522.827701725,581440.48735
193164,Euphorbiaceae,Sagotia,racemosa,2.4,285524.4395442,581440.3396
193165,Clusiaceae,Garcinia,benthamiana,1.5,285524.8230621,581440.4538
193166,Chrysobalanaceae,Hymenopus,heteromorphus,2,285525.69856,581438.936
193167,Fabaceae,Swartzia,panacoco,2.1,285525.873969,581437.31435
193168,Annonaceae,Oxandra,asbeckii,1.6,285525.106953,581437.08595
193169,Lecythidaceae,Lecythis,persistens,3.1,285525.24082565,581437.33505
193170,Myristicaceae,Iryanthera,sagotiana,1.1,285526.0277263,581437.1509
193171,Ochnaceae,Lacunaria,jenmanii,2.9,285524.502749725,581437.01065
193173,Chrysobalanaceae,Hymenopus,heteromorphus,1.5,285524.195229875,581437.33755
193174,Fabaceae,Inga,graciliflora,2.4,285523.43000125,581436.0635
193175,Lauraceae,Sextonia,rubra,1.3,285523.3540176,581435.6224
193176,Vochysiaceae,Qualea,rosea,3.1,285523.316026225,581435.40185
193177,Rubiaceae,Ixora,ferrea,1.2,285522.9614643,581435.19165
193178,Sapotaceae,Pouteria,flavilatex,1,285524.8445732,581433.4508
193179,Sapotaceae,Ecclinusa,ramiflora,3.4,285526.46182855,581435.7109
193180,Chrysobalanaceae,Hirtella,bicornis,1.5,285525.8214212,581434.3694
193181,Fabaceae,Swartzia,guianensis,1.3,285518.22188655,581435.66345
193182,Burseraceae,Protium,opacum,2.4,285524.90425415,581432.21315
193183,Chrysobalanaceae,Hymenopus,heteromorphus,3,285526.3242566,581432.0083
193184,Burseraceae,Protium,guianense,1,285523.880398275,581430.75745
193185,Clusiaceae,Tovomita,"sp,2 CAY-ATDN",1.2,285523.6597096,581430.79635
193186,Anacardiaceae,Thyrsodium,puberulum,1.1,285523.706739825,581431.33345
193188,Fabaceae,Inga,loubryana,26.89718538,285525.88302555,581437.6309
193189,Chrysobalanaceae,Licania,alba,16.2338042,285525.642301125,581432.53755
193191,Vochysiaceae,Ruizterania,albiflora,2.8,285521.9795742,581420.7756
193193,Clusiaceae,Garcinia,madruno,2.3,285522.0645475,581421.53325
193194,Sapindaceae,Talisia,furfuracea,1,285521.776948,581421.4476
193195,Vochysiaceae,Ruizterania,albiflora,1.6,285522.7555302,581421.32055
193196,Clusiaceae,Tovomita,obovata,1.9,285523.5822078,581420.3113
193197,Annonaceae,Oxandra,asbeckii,1.3,285523.8607746,581420.0804
193198,Myristicaceae,Iryanthera,sagotiana,1.2,285524.88634585,581420.49045
193199,Chrysobalanaceae,Couepia,caryophylloides,2.8,285525.1630622,581421.3052
193200,Meliaceae,Trichilia,schomburgkii,4,285524.915290425,581420.39445
193201,Chrysobalanaceae,Couepia,guianensis,1.4,285525.946224375,581423.21235
193202,Annonaceae,Oxandra,asbeckii,8.4,285524.6710108,581422.9372
193204,Annonaceae,Oxandra,asbeckii,1.8,285523.9112645,581424.071
193205,Lauraceae,Licaria,cannella,3.4,285524.457528,581424.3383
193206,Lauraceae,Aniba,taubertiana,1.4,285522.59088375,581422.2131
193207,Sapindaceae,Talisia,guianensis,3.5,285523.587529325,581422.71915
193208,Sapotaceae,Micropholis,egensis,3.2,285523.5585843,581422.81515
193209,Clusiaceae,Symphonia,"sp,1",1.2,285523.3758819,581423.0746
193210,Clusiaceae,Symphonia,"sp,1",4.8,285522.6450678,581424.1124
193211,Sapotaceae,Pouteria,"cf,speciosa",2,285521.18712685,581424.0967
193212,Sapindaceae,Cupania,rubiginosa,1.6,285522.1168664,581424.4782
193213,Chrysobalanaceae,Hymenopus,heteromorphus,1.8,285523.6218195,581425.031
193214,Annonaceae,Oxandra,asbeckii,1.3,285523.525950825,581425.00245
193215,Moraceae,Brosimum,rubescens,1.2,285522.777068625,581425.40715
193216,Lecythidaceae,Lecythis,persistens,3.4,285523.08274635,581426.1259
193217,Elaeocarpaceae,Sloanea,tuerckheimii,2,285520.2916411,581426.02705
193218,Clusiaceae,Tovomita,obovata,1.4,285519.495733025,581425.89465
193219,Annonaceae,Unonopsis,rufescens,2.8,285519.22617875,581426.4421
193220,Annonaceae,Oxandra,asbeckii,4.7,285518.7901125,581428.92775
193221,Moraceae,Trymatococcus,oligandrus,1.5,285518.84800675,581428.73575
193222,Cordiaceae,Cordia,sagotii,1.1,285520.986143925,581429.26785
193225,Annonaceae,Duguetia,calycina,1.5,285522.673861,581429.5612
193226,Lecythidaceae,Eschweilera,sagotiana,5,285523.15504575,581428.6583
193227,Annonaceae,Oxandra,asbeckii,1,285523.4118944,581429.8856
193229,Lecythidaceae,Eschweilera,sagotiana,1.7,285524.331724063,581430.473375
193230,Sapotaceae,Chrysophyllum,sanguinolentum,3.5,285523.692289975,581428.60905
193231,Melastomataceae,Mouriri,crassifolia,1,285524.4701199,581428.10835
193232,Meliaceae,Trichilia,schomburgkii,9.3,285523.8569125,581427.7165
193233,Sapotaceae,Pouteria,sagotiana,2.2,285522.7462832,581426.5488
193235,Vochysiaceae,Qualea,rosea,1.2,285525.591625975,581428.54695
193236,Annonaceae,Guatteria,guianensis,6.3,285525.119504,581429.7664
193237,Sapotaceae,Micropholis,egensis,1.5,285524.7541052,581430.2853
193238,Clusiaceae,Tovomita,"sp,2 CAY-ATDN",1.2,285525.21537575,581429.79495
193239,Chrysobalanaceae,Licania,membranacea,4.3,285527.3552889,581429.2814
193240,Annonaceae,Duguetia,calycina,1.5,285527.910623875,581429.86525
193241,Clusiaceae,Tovomita,obovata,1.3,285526.4074304,581428.2668
193243,Metteniusaceae,Poraqueiba,guianensis,2.5,285528.5002756,581427.21615
193244,Sapotaceae,Pouteria,torta,1.4,285528.577150688,581427.134425
193246,Annonaceae,Oxandra,asbeckii,1.6,285529.3847837,581426.0149
193247,Annonaceae,Oxandra,asbeckii,2.8,285528.94523205,581425.04705
193248,Meliaceae,Guarea,pubescens,3,285529.5023445,581424.58525
193249,Sapotaceae,Micropholis,egensis,2.5,285527.55424565,581425.1559
193250,Clusiaceae,Tovomita,obovata,1.5,285527.5072188,581424.6188
193251,Lecythidaceae,Lecythis,poiteaui,4.3,285528.006455,581424.349
193252,Vochysiaceae,Ruizterania,albiflora,2,285528.438763125,581423.95465
193253,Lecythidaceae,Lecythis,persistens,8.6,285530.6473,581422.52
193254,Lecythidaceae,Eschweilera,congestiflora,1.7,285528.203645,581421.26915
193255,Lecythidaceae,Lecythis,persistens,3,285526.7909487,581422.8362
193256,Sapotaceae,Pouteria,torta,3.5,285526.119883725,581422.63635
193258,Peraceae,Pogonophora,schomburgkiana,18.14366351,285524.5099255,581427.28325
193259,Chrysobalanaceae,Hymenopus,heteromorphus,17.3478888,285529.013964375,581424.12595
193260,Myristicaceae,Iryanthera,sagotiana,26.41972055,285528.572614625,581424.20375
193261,Burseraceae,Protium,subserratum,29.60281942,285526.0131481,581423.3369
193262,Burseraceae,Protium,sagotianum,3.8,285523.935580675,581410.47755
193263,Myristicaceae,Iryanthera,sagotiana,6.2,285523.90663325,581410.57355
193264,Cordiaceae,Cordia,nodosa,1.1,285525.219702375,581411.06925
193265,Fabaceae,Bocoa,prouacensis,1.1,285525.1347536,581410.3116
193266,Annonaceae,Oxandra,asbeckii,3.9,285525.86365035,581410.31945
193267,Linaceae,Hebepetalum,humiriifolium,1,285525.642988825,581410.35835
193268,Fabaceae,Inga,loubryana,1.9,285526.12227745,581410.5011
193269,Annonaceae,Duguetia,calycina,1.6,285526.975975,581410.4415
193270,Malvaceae,Sterculia,pruriens,1.2,285527.234602475,581410.62315
193271,Annonaceae,Oxandra,asbeckii,3.4,285527.16581375,581411.54425
193272,Annonaceae,Oxandra,asbeckii,3.4,285525.8038731,581411.5571
193273,Clusiaceae,Tovomita,obovata,1.4,285527.8548728,581412.3772
193274,Annonaceae,Oxandra,asbeckii,1.8,285528.0646442,581413.06740000006
193275,Sapotaceae,Pradosia,cochlearia,1.4,285527.306796875,581413.15555
193276,Lecythidaceae,Lecythis,persistens,8.8,285525.3046543,581411.8269
193278,Metteniusaceae,Poraqueiba,guianensis,2,285523.588211575,581411.62955
193279,Annonaceae,Annona,foetida,1.4,285523.181056,581414.0192
193280,Sapindaceae,Talisia,guianensis,4.2,285522.9024922,581414.2501
193282,Myristicaceae,Virola,michelii,2.1,285525.23926,581416.2015
193283,Sapotaceae,Ecclinusa,ramiflora,7.4,285524.251694,581416.012
193284,Lauraceae,Sextonia,rubra,1,285525.2862585,581416.7386
193285,Sapotaceae,Pouteria,gonggrijpii,1.6,285523.47577535,581415.46705
193286,Lecythidaceae,Lecythis,persistens,4.7,285523.2821712,581416.4556
193287,Lecythidaceae,Eschweilera,congestiflora,1.1,285522.52617665,581415.4981
193288,Burseraceae,Protium,opacum,1.6,285522.7648897,581416.0923
193289,Clusiaceae,Symphonia,"sp,1",3.2,285522.640080125,581416.15975
193290,Clusiaceae,Symphonia,"sp,1",1.5,285522.12993505,581417.15865
193291,Lauraceae,Ocotea,nigra,6.2,285521.85850775,581418.75175
193292,Lecythidaceae,Eschweilera,coriacea,1,285522.7682863,581419.5458
193293,Goupiaceae,Goupia,glabra,1.7,285524.07428215,581418.6793
193294,Chrysobalanaceae,Leptobalanus,sprucei,1.6,285524.206260175,581419.97405
193295,Sapindaceae,Talisia,furfuracea,5.8,285525.088957875,581419.81845
193296,Olacaceae,Heisteria,obovata,2.4,285528.044520125,581419.02475
193298,Sapindaceae,Talisia,hexaphylla,1.7,285528.833166375,581417.79495
193299,Annonaceae,Unonopsis,stipitata,2.8,285528.5111425,581420.94225
193300,Chrysobalanaceae,Licania,alba,1,285528.5201818,581421.2588
193301,Clusiaceae,Symphonia,"sp,1",3.5,285529.402866,581421.1032
193302,Lecythidaceae,Eschweilera,congestiflora,2.5,285529.997952425,581420.86195
193303,Annonaceae,Oxandra,asbeckii,7,285529.636217775,581419.28955
193304,Lecythidaceae,Eschweilera,congestiflora,1.5,285530.1842784,581418.5112
193305,Meliaceae,Trichilia,schomburgkii,4,285529.31247825,581417.9377
193306,Rubiaceae,Duroia,genipoides,4.8,285531.29664775,581418.63325
193307,Lecythidaceae,Eschweilera,sagotiana,1.6,285531.133863375,581418.48015
193308,Malvaceae,Sterculia,pruriens,3.7,285531.191744425,581418.28815
193309,Sapindaceae,Talisia,guianensis,1.7,285531.616813,581416.5316
193310,Sapindaceae,Talisia,hexaphylla,3,285531.7416144,581416.46415
193311,Annonaceae,Oxandra,asbeckii,5,285530.21687745,581416.3239
193312,Lauraceae,Licaria,cannella,1.1,285528.1223129,581418.4202
193313,Chrysobalanaceae,Hymenopus,heteromorphus,1,285528.569176425,581415.20545
193314,Lecythidaceae,Gustavia,hexapetala,2.3,285528.34851205,581415.24435
193315,Myrtaceae,Eugenia,cupulata,1.5,285529.520594,581414.12875
193316,Annonaceae,Oxandra,asbeckii,2.6,285529.1751295,581414.2351
193316,Annonaceae,Oxandra,asbeckii,5.4,285529.1751295,581414.2351
193317,Siparunaceae,Siparuna,cuspidata,1,285529.176981,581413.18945
193318,Annonaceae,Oxandra,asbeckii,2.5,285529.2909009,581413.8511
193319,Annonaceae,Oxandra,asbeckii,4.9,285529.6852187,581413.2362
193320,Myristicaceae,Iryanthera,sagotiana,8.8,285529.263810225,581412.90145
193321,Clusiaceae,Tovomita,"sp,2 CAY-ATDN",1.7,285529.6761881,581412.91965
193322,Annonaceae,Annona,foetida,2,285528.938261875,581412.59525
193325,Cordiaceae,Cordia,sprucei,1.4,285530.569705875,581412.03495
193326,Annonaceae,Oxandra,asbeckii,1.9,285531.2877185,581412.7719
193327,Stemonuraceae,Discophora,guianensis,1.3,285531.88277485,581412.53065
193329,Lecythidaceae,Couratari,multiflora,35.49155231,285524.51562875,581418.6015
193330,Caryocaraceae,Caryocar,glabrum,88.80845825,285526.680678625,581420.08325
193331,Fabaceae,Vouacapoua,americana,63.82113218,285532.859428,581413.44925
193332,Lecythidaceae,Lecythis,persistens,16.39295914,285530.329136,581412.4864
193333,Lecythidaceae,Lecythis,persistens,13.20986028,285529.9962136,581416.3628
193335,Malvaceae,Sterculia,pruriens,1,285527.03295515,581400.20555
193337,Stemonuraceae,Discophora,guianensis,4.7,285529.0420012,581402.8964
193338,Annonaceae,Anaxagorea,dolichocarpa,5.1,285529.242720625,581403.27005
193340,Anacardiaceae,Thyrsodium,puberulum,1.1,285529.0491215,581404.2586
