TreeID,Family,Genus,species,DBH,Xutm,Yutm
"200473",Sapotaceae,Pouteria,bangii,1.6,285539.366011525,581477.84165
"200474",Annonaceae,Oxandra,asbeckii,9.5,285540.650814525,581478.43335
"200478",Ochnaceae,Quiina,obovata,1.1,285538.63382765,581479.9251
"200479",Apocynaceae,Tabernaemontana,macrocalyx,9.5,285536.9349485,581480.36085
"200480",Lecythidaceae,Eschweilera,sagotiana,3.7,285537.499735875,581481.26125
"200481",Lecythidaceae,Lecythis,persistens,1.2,285538.8515625,581481.9775
"200482",Lecythidaceae,Lecythis,persistens,1.2,285539.110360225,581482.15915
"200483",Lecythidaceae,Eschweilera,sagotiana,6.5,285539.1195037,581482.4757
"200484",Sapindaceae,Talisia,hexaphylla,1.3,285540.029875125,581483.26975
"200485",Clusiaceae,Tovomita,"sp,9 CAY-ATDN",2,285539.7315268,581483.9132
"200486",Myrtaceae,Myrcia,decorticans,1.8,285538.2350724,581483.67695
"200487",Chrysobalanaceae,Licania,canescens,3.8,285540.232316,581482.59775
"200488",Annonaceae,Annona,ambotay,1.4,285536.7781788,581482.6156
"200489",Ochnaceae,Quiina,obovata,3,285535.8663056,581482.8672
"200490",Annonaceae,Annona,ambotay,1.5,285536.11596675,581482.7323
"200491",Annonaceae,Annona,ambotay,1.5,285534.91636625,581482.89825
"200493",Sapotaceae,Pouteria,jariensis,1.9,285534.1658574,581484.3486
"200494",Violaceae,Leonia,glycycarpa,1,285535.3167648,581484.6912
"200495",Rubiaceae,Palicourea,quadrifolia,1.2,285535.80545025,581485.1505
"200496",Burseraceae,Protium,sagotianum,1.1,285536.918295025,581485.27255
"200497",Annonaceae,Oxandra,asbeckii,6.589014644,285538.09961,581484.4735
"200498",Apocynaceae,Aspidosperma,excelsum,1.4,285538.474097675,581484.27115
"200499",Fabaceae,Vouacapoua,americana,1.2,285538.474097675,581484.27115
"200500",Annonaceae,Annona,ambotay,1.1,285536.5863645,581482.5585
"200501",Annonaceae,Oxandra,asbeckii,8.594366927,285539.509312875,581484.99775
"200502",Sapindaceae,Cupania,scrobiculata,1.2,285538.84415,581487.20575
"200504",Annonaceae,Oxandra,asbeckii,1.3,285539.13188,581487.2914
"200505",Annonaceae,Oxandra,asbeckii,12.09577567,285540.3069715,581484.0845
"200507",Chrysobalanaceae,Hymenopus,heteromorphus,8.594366927,285541.2631197,581486.4613
