TreeID,Family,Genus,species,DBH,Xutm,Yutm
"143151",Annonaceae,Duguetia,incospicua,1.2,285485.11117535,581536.8057
"143152",Annonaceae,Fusaea,longifolia,2.9,285481.856112,581537.1972
"143153",Chrysobalanaceae,Couepia,guianensis,4.9,285484.153223275,581535.47455
"143154",Myristicaceae,Iryanthera,hostmannii,1.4,285484.565997,581535.49275
"143155",Burseraceae,Protium,tenuifolium,3,285483.327674025,581535.43815
"143156",Malvaceae,Catostemma,fragrans,6.4,285482.456597,581533.819
"143157",Chrysobalanaceae,Licania,canescens,3,285482.0330809,581534.5299
"143158",Apocynaceae,Ambelania,acida,0.9,285482.4061658,581535.3732
"143159",Peraceae,Pogonophora,schomburgkiana,2.3,285483.5791128,581534.2576
"143160",Chrysobalanaceae,Licania,canescens,1.5,285481.993389,581535.355
"143161",Vochysiaceae,Qualea,rosea,1.4,285480.78565225,581534.15875
"143162",Fabaceae,Inga,loubryana,15.75633937,285478.2692733,581534.87465
"143163",Simaroubaceae,Homalolepis,cedron,13.68732511,285477.2683221,581536.4599
"143164",Chrysobalanaceae,Licania,alba,31.51267873,285476.086198475,581537.25895
"143165",Fabaceae,Tachigali,melinonii,76.39437268,285481.6277718,581535.8739
"143166",Simaroubaceae,Homalolepis,cedron,11.4591559,285482.21425265,581535.3161
"143722",Elaeocarpaceae,Sloanea,"sp,33 CAY-ATDN",1.5,285486.782105325,581536.46595
"143723",Anacardiaceae,Thyrsodium,puberulum,6.1,285485.82093685,581537.2261
"143724",Lecythidaceae,Lecythis,persistens,2.8,285486.760679675,581537.92415
"143725",Peraceae,Pogonophora,schomburgkiana,1.3,285485.558813,581539.13575
"143726",Vochysiaceae,Qualea,rosea,1.2,285488.2944207,581539.4266
"143727",Chrysobalanaceae,Hirtella,bicornis,1.6,285486.98748825,581540.2931
"143728",Metteniusaceae,Poraqueiba,guianensis,1.5,285486.946265325,581542.16385
"143729",Lauraceae,Rhodostemonodaphne,morii,2.9,285485.72614455,581542.74235
"143730",Peraceae,Pogonophora,schomburgkiana,1.4,285493.72290255,581542.9247
"143731",Sapotaceae,Pouteria,"cf,speciosa",5.5,285494.3108485,581541.32125
"143732",Malvaceae,Theobroma,subincanum,3.9,285495.631433875,581537.63435
"143733",Chrysobalanaceae,Licania,canescens,1.8,285491.156467925,581538.60435
"143734",Chrysobalanaceae,Licania,alba,2,285489.966915,581538.0412
"143735",Vochysiaceae,Qualea,rosea,0.9,285488.92209185,581536.99805
"143736",Lecythidaceae,Lecythis,corrugata,17.02957891,285489.19330435,581535.40495
"143737",Combretaceae,Terminalia,amazonia,32.1492985,285485.1337247,581540.8923
"143738",Clusiaceae,Symphonia,"sp,1",19.73521294,285486.2075276,581541.83945
"143739",Apocynaceae,Aspidosperma,cruentum,19.73521294,285488.771075675,581541.66065
"143740",Metteniusaceae,Poraqueiba,guianensis,24.98732607,285490.97814935,581542.3173
"143742",Annonaceae,Anaxagorea,dolichocarpa,4.2,285491.269861875,581527.13075
"143743",Clusiaceae,Tovomita,obovata,1.2,285490.69255705,581528.0051
"143745",Clusiaceae,Tovomita,obovata,3.2,285490.8340732,581529.6164
"143746",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1.1,285492.052487225,581530.08355
"143747",Annonaceae,Anaxagorea,dolichocarpa,4.2,285495.7197936,581536.3007
"143748",Melastomataceae,Henriettea,flavescens,7.3,285494.693236475,581535.89065
"143749",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1.5,285494.7847319,581532.4657
"143749",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1.7,285494.7847319,581532.4657
"143750",Siparunaceae,Siparuna,decipiens,8.1,285497.0403741,581532.6138
"143751",Malvaceae,Theobroma,guianense,1,285494.681222875,581531.07495
"143752",Clusiaceae,Tovomita,"sp,9 CAY-ATDN",2.2,285493.2146002,581529.69705
"143753",Moraceae,Naucleopsis,guianensis,1.7,285491.5374424,581534.2194
"143755",Annonaceae,Fusaea,longifolia,2,285495.982049,581527.8006
"143756",Burseraceae,Protium,opacum,1.8,285493.1143165,581526.215
"143757",Lecythidaceae,Gustavia,hexapetala,15.59718442,285491.6048795,581527.7535
"143758",Arecaceae,Oenocarpus,bataua,17.98450857,285495.893649375,581529.13425
"143759",Myristicaceae,Iryanthera,hostmannii,17.3478888,285496.5958036,581528.19245
