TreeID,Family,Genus,species,DBH,Xutm,Yutm
"140722",Myrtaceae,Eugenia,coffeifolia,1.1,285426.945940375,581558.00145
"140725",Sapindaceae,Talisia,mollis,4.5,285427.36076,581556.974
"140727",Annonaceae,Oxandra,asbeckii,10.5,285427.94236535,581554.00835
"140741",Cordiaceae,Cordia,nodosa,1.2,285428.265031975,581550.86105
"140743",Chrysobalanaceae,Leptobalanus,sprucei,3.6,285427.9300661,581550.2383
"140744",Myristicaceae,Iryanthera,sagotiana,1.1,285427.83408725,581550.20975
"140745",Annonaceae,Anaxagorea,dolichocarpa,5.2,285428.652790025,581548.88395
"140746",Rubiaceae,Palicourea,quadrifolia,1,285428.594818375,581549.07595
"140747",Chrysobalanaceae,Licania,alba,1.7,285427.91395465,581548.55955
"140773",Clusiaceae,Tovomita,"sp,2 CAY-ATDN",1.2,285428.5477925,581548.53885
"140776",Vochysiaceae,Ruizterania,albiflora,3.8,285430.759104,581547.1042
"140777",Malvaceae,Sterculia,"sp,",2.3,285431.28793,581546.7384
"140779",Chrysobalanaceae,Licania,alba,1.2,285430.50208465,581545.8769
"140781",Peraceae,Pogonophora,schomburgkiana,3.3,285431.32785515,581545.9133
"140782",Lecythidaceae,Eschweilera,coriacea,1.6,285431.56875255,581545.46185
"140783",Fabaceae,Swartzia,grandifolia,1.1,285432.3603528,581543.1864
"140785",Sapotaceae,Chrysophyllum,sanguinolentum,2.4,285431.30272,581543.918
"140786",Melastomataceae,Mouriri,crassifolia,1.3,285431.36069,581543.726
"140791",Sapotaceae,Micropholis,venulosa,3.9,285432.3822472,581541.7282
"140797",Melastomataceae,Miconia,tschudyoides,1.1,285431.2016,581541.4816
"140799",Chrysobalanaceae,Licania,canescens,1.7,285431.167491625,581539.16975
"140803",Melastomataceae,Mouriri,crassifolia,2.1,285430.70566285,581539.6601
"140809",Metteniusaceae,Poraqueiba,guianensis,29.60281942,285427.425049375,581548.10025
"140811",Lecythidaceae,Gustavia,hexapetala,16.87042397,285430.087272,581546.90435
"140813",Chrysobalanaceae,Couepia,habrantha,23.71408652,285432.15617925,581539.35925
"140814",Lecythidaceae,Lecythis,zabucajo,32.94507322,285431.6544128,581540.6747
"140834",Myrtaceae,Eugenia,coffeifolia,1.8,285430.92854285,581538.57555
"141341",Lecythidaceae,Eschweilera,pedicellata,1.5,285432.842141,581542.2835
"141342",Sapotaceae,Pouteria,bangii,4,285431.833467475,581542.50655
"141344",Myristicaceae,Iryanthera,sagotiana,2.4,285433.50108925,581544.2581
"141345",Annonaceae,Anaxagorea,dolichocarpa,2.7,285433.00126115,581544.5279
"141346",Sapotaceae,Pouteria,bangii,1,285432.50143065,581544.7977
"141347",Myrtaceae,Eugenia,coffeifolia,1.3,285432.8563429,581545.0079
"141348",Clusiaceae,Tovomita,obovata,1.2,285432.0847188,581546.8708
"141349",Myristicaceae,Iryanthera,hostmannii,1,285432.468621,581546.985
"141350",Meliaceae,Guarea,costata,4,285432.25290375,581549.43175
"141351",Myrtaceae,Eugenia,exaltata,2,285432.1949375,581549.62375
"141352",Sapindaceae,Cupania,rubiginosa,1.7,285433.531483375,581548.66125
"141353",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",2.5,285433.7144068,581548.4018
"141368",Violaceae,Leonia,glycycarpa,2.3,285434.0859544,581544.74595
"141369",Lecythidaceae,Eschweilera,coriacea,14.00563499,285432.760985075,581539.43455
"141371",Meliaceae,Trichilia,schomburgkii,13.84648005,285434.0441383,581546.6167
"141375",Sapindaceae,Talisia,mollis,1,285431.340166325,581549.68335
"141376",Lecythidaceae,Eschweilera,coriacea,7.6,285431.2912258,581550.1919
"141378",Annonaceae,Anaxagorea,dolichocarpa,1.8,285430.67354065,581551.89135
"141379",Chrysobalanaceae,Licania,ovalifolia,3.3,285432.234429125,581554.34345
"141380",Myristicaceae,Iryanthera,sagotiana,1.2,285432.430153125,581552.30925
"141381",Myrtaceae,Eugenia,coffeifolia,1.4,285432.388374,581554.18
