TreeID,Family,Genus,species,DBH,Xutm,Yutm
"191135",Annonaceae,Anaxagorea,dolichocarpa,2.2,285477.460537225,581454.39065
"191136",Meliaceae,Guarea,pubescens,1.2,285476.66436875,581454.25825
"191137",Annonaceae,Oxandra,asbeckii,0.8,285475.774327925,581453.05165
"191138",Chrysobalanaceae,Licania,alba,1.6,285474.8822637,581452.8907
"191139",Annonaceae,Oxandra,asbeckii,6.8,285478.26073,581452.43175
"191140",Lecythidaceae,Eschweilera,sagotiana,5,285479.270678125,581451.16305
"191141",Myrtaceae,Eugenia,pseudopsidium,1.1,285479.983941325,581449.49215
"191142",Chrysobalanaceae,Licania,ovalifolia,1.2,285479.3795972,581449.41685
"191143",Lecythidaceae,Eschweilera,coriacea,3.2,285477.700406725,581449.44005
"191144",Chrysobalanaceae,Licania,alba,1.2,285478.123974875,581448.72915
"191145",Annonaceae,Anaxagorea,dolichocarpa,2.1,285477.0001622,581449.3362
"191146",Anacardiaceae,Thyrsodium,puberulum,1.2,285476.13709775,581449.07925
"191147",Melastomataceae,Miconia,argyrophylla,1.4,285475.97632875,581447.8805
"191148",Clusiaceae,Garcinia,benthamiana,3.8,285477.5993684,581457.0476
"191150",Malvaceae,Sterculia,pruriens,65.7309915,285477.829132,581457.32525
"191151",Lecythidaceae,Lecythis,persistens,15.91549431,285477.1059105,581454.18045
"191152",Lecythidaceae,Eschweilera,grandiflora,12.25493062,285477.808192525,581453.23865
"191153",Lecythidaceae,Lecythis,corrugata,21.8042272,285478.449612925,581449.03535
"191160",Annonaceae,Anaxagorea,dolichocarpa,1.1,285477.199430325,581440.71155
"191160",Annonaceae,Anaxagorea,dolichocarpa,4,285477.199430325,581440.71155
"191165",Lecythidaceae,Eschweilera,coriacea,7,285474.484084875,581445.55295
"191166",Sapotaceae,Pouteria,singularis,2.4,285475.197425775,581443.88205
"191167",Annonaceae,Oxandra,asbeckii,5.7,285477.271177125,581443.24395
"191168",Chrysobalanaceae,Leptobalanus,sprucei,1.4,285476.847602075,581443.95485
"191169",Annonaceae,Oxandra,asbeckii,8.8,285477.267059375,581445.33525
"191170",Melastomataceae,Miconia,argyrophylla,1.1,285476.304013375,581447.14105
"191171",Sapotaceae,Pouteria,singularis,3,285478.106017175,581448.09605
"191172",Annonaceae,Guatteria,punctata,2.9,285480.121834075,581447.64995
"191173",Sapindaceae,Talisia,simaboides,1.3,285480.12386205,581446.6043
"191174",Fabaceae,Recordoxylon,speciosum,1,285479.52156675,581445.48335
"191175",Lecythidaceae,Lecythis,persistens,1.9,285479.43669215,581444.7257
"191176",Myrtaceae,Eugenia,brownsbergii,2.2,285479.5036125,581444.85025
"191177",Annonaceae,Unonopsis,rufescens,1.5,285477.98115,581448.1635
"191178",Lecythidaceae,Eschweilera,sagotiana,6.2,285481.4014696,581445.8338
"191179",Vochysiaceae,Qualea,rosea,6.4,285480.379698475,581443.33245
"191180",Sapotaceae,Pouteria,bangii,3.2,285479.63256825,581442.6915
"191181",Annonaceae,Anaxagorea,dolichocarpa,2,285478.729550975,581443.25965
"191182",Annonaceae,Fusaea,longifolia,1.6,285478.07625545,581443.6929
"191183",Myrtaceae,Eugenia,albicans,1.1,285478.57086125,581441.01525
"191184",Sapindaceae,Talisia,hexaphylla,4,285480.6265964,581439.74405
"191185",Lecythidaceae,Eschweilera,grandiflora,19.25774811,285477.311185675,581442.41885
"191198",Burseraceae,Protium,subserratum,1.3,285478.526425887,581434.410525
"191199",Myrtaceae,Eugenia,tetramera,2,285478.526425887,581434.410525
"191200",Myrtaceae,Eugenia,tetramera,4.4,285479.2145041,581435.7663
"191201",Melastomataceae,Miconia,tschudyoides,3.1,285479.10549375,581437.5125
"191202",Sapotaceae,Pouteria,bangii,2,285480.18495192,581436.0134
"191203",Fabaceae,Swartzia,polyphylla,1,285481.881646517,581436.27795
"191204",Melastomataceae,Henriettea,flavescens,1,285482.52192827,581434.15635
"191205",Melastomataceae,Henriettea,flavescens,1.2,285485.736266878,581432.50825
"191206",Chrysobalanaceae,Couepia,guianensis,2.4,285483.256231963,581431.550075
"191207",Chrysobalanaceae,Hymenopus,heteromorphus,8,285484.603819448,581431.239875
"191208",Meliaceae,Guarea,costata,1.3,285484.232643345,581430.2191
"191209",Ochnaceae,Lacunaria,crenata,1.9,285483.377095321,581430.110825
"191210",Myrtaceae,Eugenia,coffeifolia,1.4,285483.388684236,581430.072425
"191212",Sapotaceae,Pouteria,guianensis,1.2,285481.46712226,581430.03385
"191213",Cordiaceae,Cordia,nodosa,1.1,285479.418058653,581428.51345
"191214",Annonaceae,Oxandra,asbeckii,11.9,285480.504154062,581433.743875
"191215",Lecythidaceae,Lecythis,corrugata,14.48309982,285479.1006922,581435.10465
"191216",Lecythidaceae,Eschweilera,sagotiana,10.98169107,285485.40629,581433.948
"191217",Chrysobalanaceae,Licania,alba,18.78028328,285485.184150563,581432.26015
"191218",Euphorbiaceae,Conceveiba,guianensis,24.50986124,285485.940837,581430.44525
"191219",Apocynaceae,Lacmellea,aculeata,12.09577567,285483.288593613,581430.23095
"191222",Chrysobalanaceae,Licania,prelevee,3.2,285481.334300776,581417.94114
"191224",Apocynaceae,Aspidosperma,excelsum,1.5,285481.957725195,581418.472065
"191225",Sapotaceae,Pradosia,cochlearia,1.9,285481.766951805,581419.34645
"191226",Chrysobalanaceae,Hymenopus,heteromorphus,3.2,285482.811291406,581419.521425
"191229",Moraceae,Helicostylis,pedunculata,1.3,285482.215089212,581421.635245
"191231",Lecythidaceae,Lecythis,persistens,9.2,285481.905178788,581421.65805
"191232",Myrtaceae,Eugenia,anastomosans,1.5,285482.112949254,581421.38511
"191233",Lauraceae,Licaria,debilis,1.4,285481.96757713,581423.52855
"191234",Malvaceae,Catostemma,fragrans,2.7,285481.75161036,581422.16685
"191235",Malvaceae,Sterculia,multiovula,6.3,285479.97206692,581423.5621
"191237",Fabaceae,Inga,brachystachys,2.8,285481.477745946,581421.447065
"191239",Malvaceae,Sterculia,multiovula,5.7,285482.4485353,581425.7434
"191241",Cordiaceae,Cordia,sprucei,4,285483.338314,581426.95
"191242",Burseraceae,Dacryodes,cuspidata,2.7,285483.75659584,581426.949
"191243",Cordiaceae,Cordia,sprucei,2,285483.67836955,581427.2082
"191245",Melastomataceae,Votomita,guianensis,1.1,285483.937809368,581426.521675
"191246",Meliaceae,Guarea,costata,1.4,285480.864669041,581419.600905
"191247",Moraceae,Helicostylis,pedunculata,1.9,285483.438941125,581427.482175
"191248",Meliaceae,Guarea,pubescens,1.7,285484.255768119,581428.238075
"191249",Meliaceae,Guarea,costata,2,285484.630529878,581427.93116
"191251",Myristicaceae,Iryanthera,hostmannii,1.1,285485.441032628,581426.56125
"191252",Lauraceae,Ocotea,nigra,2.5,285485.0530865,581428.193
"191253",Meliaceae,Trichilia,schomburgkii,5.2,285485.67706416,581427.5104
"191254",Chrysobalanaceae,Licania,membranacea,1.5,285486.162801708,581428.32465
"191255",Clusiaceae,Tovomita,obovata,1.2,285485.604910188,581428.09575
"191256",Vochysiaceae,Ruizterania,albiflora,3,285484.90551775,581425.2195
"191257",Sapindaceae,Talisia,sylvatica,2.4,285484.4171734,581424.7602
"191258",Chrysobalanaceae,Hymenopus,heteromorphus,1.9,285485.52184725,581424.042875
"191259",Rubiaceae,Isertia,spiciformis,1.7,285488.62196,581423.292
"191260",Myristicaceae,Iryanthera,hostmannii,8.5,285484.88188123,581428.41405
"191261",Myrtaceae,Eugenia,brownsbergii,1.3,285486.19032125,581422.69345
"191262",Sapotaceae,Pouteria,"cf,speciosa",3.1,285485.434379725,581421.73595
"191263",Peraceae,Pogonophora,schomburgkiana,2.5,285485.96010765,581421.7251
