TreeID,Family,Genus,species,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"140619",Lecythidaceae,Eschweilera,coriacea,285417.196623,581558.7634,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140620",Sapindaceae,Cupania,rubiginosa,285417.455593075,581558.94505,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140621",Fabaceae,Inga,loubryana,285417.5876341,581560.2398,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140623",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",285417.1927175,581560.8547,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140623",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",285417.1927175,581560.8547,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140626",Lecythidaceae,Gustavia,hexapetala,285418.527542675,581560.93785,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140627",Ochnaceae,Lacunaria,jenmanii,285418.681512,581560.7744,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140628",Melastomataceae,Henriettea,flavescens,285417.94065315,581561.49565,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140629",Rubiaceae,Palicourea,quadrifolia,285417.7467352,581562.4842,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140630",Chrysobalanaceae,Hymenopus,heteromorphus,285417.0078081,581562.1598,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140642",Sapindaceae,Talisia,furfuracea,285419.6736347,581564.4174,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140643",Fabaceae,Inga,rubiginosa,285419.9525825,581564.1865,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140644",Myristicaceae,Iryanthera,sagotiana,285420.3365447,581564.3007,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140649",Myristicaceae,Iryanthera,sagotiana,285423.3502702,581565.4063,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140650",Annonaceae,Anaxagorea,dolichocarpa,285421.0664544,581564.30855,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140651",Fabaceae,Swartzia,guianensis,285420.2985312,581564.08015,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140652",Myristicaceae,Iryanthera,hostmannii,285420.577477125,581563.84925,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140653",Myristicaceae,Iryanthera,hostmannii,285420.577477125,581563.84925,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140654",Myristicaceae,Iryanthera,hostmannii,285420.03954875,581563.8985,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140655",Chrysobalanaceae,Licania,membranacea,285420.97237505,581563.23435,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140656",Clusiaceae,Symphonia,"sp,1",285423.34312995,581564.0441,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140657",Annonaceae,Oxandra,asbeckii,285422.854152,581563.5848,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140658",Violaceae,Leonia,glycycarpa,285422.74913385,581563.2397,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140659",Euphorbiaceae,Mabea,piriri,285422.74913385,581563.2397,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140660",Chrysobalanaceae,Hymenopus,heteromorphus,285424.8319126,581563.9638,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140661",Apocynaceae,Aspidosperma,excelsum,285422.98102945,581562.4717,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140662",Annonaceae,Anaxagorea,dolichocarpa,285424.0858472,581562.2772,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
