TreeID,Family,Genus,species,DBH,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"140595",Urticaceae,Pourouma,bicolor,1,285420.770878,581568.4055,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140597",Urticaceae,Pourouma,mollis,1.4,285419.877949475,581568.24455,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140598",Annonaceae,Guatteria,guianensis,1.3,285420.4990712,581569.9986,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140603",Salicaceae,Casearia,"sp,1 CAY-ATDN",0.8,285417.7152278,581569.17065,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140606",Apocynaceae,Couma,guianensis,1.4,285416.476322075,581569.11605,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140607",Linaceae,Hebepetalum,humiriifolium,2,285418.9470034,581567.86305,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140608",Annonaceae,Oxandra,asbeckii,12.73239545,285415.4712692,581567.2478,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140613",Lecythidaceae,Eschweilera,coriacea,13.52817016,285419.280129475,581569.53145,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140614",Sapindaceae,Cupania,rubiginosa,1.6,285418.10438135,581556.10395,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140615",Siparunaceae,Siparuna,cuspidata,1,285417.34550825,581556.1921,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140616",Lecythidaceae,Gustavia,hexapetala,1.2,285416.892605,581556.999,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140617",Malvaceae,Theobroma,guianense,0.9,285417.0845771,581557.0561,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140618",Vochysiaceae,Ruizterania,albiflora,1.1,285417.52454485,581558.02395,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140618",Vochysiaceae,Ruizterania,albiflora,2.8,285417.52454485,581558.02395,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140619",Lecythidaceae,Eschweilera,coriacea,3.7,285417.196623,581558.7634,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140620",Sapindaceae,Cupania,rubiginosa,1.1,285417.455593075,581558.94505,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140621",Fabaceae,Inga,loubryana,2.5,285417.5876341,581560.2398,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140622",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",0.8,285416.386803,581560.40575,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140623",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",2.6,285417.1927175,581560.8547,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
"140623",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",1.2,285417.1927175,581560.8547,"140672",14.9,"55",Peraceae,,schomburgkiana,285421.7260689,581560.73835
