X,Y,Z,Period 1,Xutm,Yutm,Zalt
-88,-88,13.7224998474121,0.0565504295685221,285468.008837873,581394.886318351,13.7224998474121
-88,-86,13.6399993896484,0.0349103348829463,285467.430788947,581396.800961775,13.6399993896484
-88,-84,13.5175018310547,0.045006619893846,285466.852740021,581398.715605198,13.5175018310547
-88,-82,13.4225006103516,0.0555653220148174,285466.274691095,581400.630248622,13.4225006103516
-88,-80,13.2924995422363,0.0411922903500996,285465.696642168,581402.544892045,13.2924995422363
-88,-78,13.3800010681152,0.0293090968640344,285465.118593242,581404.459535469,13.3800010681152
-88,-76,13.3624992370605,0.0319717169314353,285464.540544316,581406.374178892,13.3624992370605
-88,-74,13.4700012207031,0.0427908639721957,285463.96249539,581408.288822316,13.4700012207031
-88,-72,13.4799995422363,0.032712096363242,285463.384446464,581410.203465739,13.4799995422363
-88,-70,13.4425010681152,0.0293932966053319,285462.806397538,581412.118109162,13.4425010681152
-88,-68,13.3775024414063,0.0314007175469727,285462.228348612,581414.032752586,13.3775024414063
-88,-66,13.5625,0.0309972375032135,285461.650299686,581415.947396009,13.5625
-88,-64,13.4000015258789,0.0179351343992293,285461.07225076,581417.862039433,13.4000015258789
-88,-62,13.4150009155273,0.0190520101329757,285460.494201834,581419.776682856,13.4150009155273
-88,-60,13.4274978637695,0.0197846538400889,285459.916152908,581421.69132628,13.4274978637695
-88,-58,13.375,0.0219458875899884,285459.338103982,581423.605969703,13.375
-88,-56,13.3699989318848,0.0183979596721549,285458.760055056,581425.520613127,13.3699989318848
-88,-54,13.3050003051758,0.0126933862773175,285458.18200613,581427.43525655,13.3050003051758
-88,-52,13.1800003051758,0.0102428463851163,285457.603957204,581429.349899974,13.1800003051758
-88,-50,13.4150009155273,0.0154572047719692,285457.025908278,581431.264543397,13.4150009155273
-88,-48,13.2150001525879,0.0115632883510329,285456.447859351,581433.179186821,13.2150001525879
-88,-46,13.122501373291,0.0165149304186243,285455.869810425,581435.093830244,13.122501373291
-88,-44,13.1849975585938,0.013579538479741,285455.291761499,581437.008473668,13.1849975585938
-88,-42,13.1049995422363,0.0134515659870071,285454.713712573,581438.923117091,13.1049995422363
-88,-40,12.8899993896484,0.0317917081637808,285454.135663647,581440.837760515,12.8899993896484
-88,-38,12.7000007629395,0.0353963001172438,285453.557614721,581442.752403938,12.7000007629395
-88,-36,12.6049995422363,0.0341749005156692,285452.979565795,581444.667047362,12.6049995422363
-88,-34,12.4524993896484,0.0321119896592925,285452.401516869,581446.581690785,12.4524993896484
-88,-32,12.4150009155273,0.0471715596168668,285451.823467943,581448.496334209,12.4150009155273
-88,-30,12.2750015258789,0.0378118596068218,285451.245419017,581450.410977632,12.2750015258789
-88,-28,12.1925010681152,0.0401514547584787,285450.667370091,581452.325621056,12.1925010681152
-88,-26,12.1224975585938,0.0421361180631833,285450.089321165,581454.240264479,12.1224975585938
-88,-24,12.0349998474121,0.0359255062314211,285449.511272239,581456.154907903,12.0349998474121
-88,-22,11.9775009155273,0.0463470009330326,285448.933223313,581458.069551326,11.9775009155273
-88,-20,11.8950004577637,0.0495310429289339,285448.355174387,581459.98419475,11.8950004577637
-88,-18,11.8549995422363,0.040697574755829,285447.777125461,581461.898838173,11.8549995422363
-88,-16,11.8199996948242,0.0279262252028129,285447.199076534,581463.813481597,11.8199996948242
-88,-14,11.8925018310547,0.0321343208719634,285446.621027608,581465.72812502,11.8925018310547
-88,-12,11.8875007629395,0.0512686762434129,285446.042978682,581467.642768443,11.8875007629395
-88,-10,11.9249992370605,0.0343835295908598,285445.464929756,581469.557411867,11.9249992370605
-88,-8,11.8250007629395,0.0298447333061466,285444.88688083,581471.47205529,11.8250007629395
-88,-6,11.7775001525879,0.0283384362502937,285444.308831904,581473.386698714,11.7775001525879
-88,-4,11.7675018310547,0.0461239792654677,285443.730782978,581475.301342137,11.7675018310547
-88,-2,11.7275009155273,0.0703465621621414,285443.152734052,581477.215985561,11.7275009155273
-88,0,11.7675018310547,0.0632309660361978,285442.574685126,581479.130628984,11.7675018310547
-88,2,11.6474990844727,0.0395851375274684,285441.9966362,581481.045272408,11.6474990844727
-88,4,11.6650009155273,0.0365803860820067,285441.418587274,581482.959915831,11.6650009155273
-88,6,11.3925018310547,0.0233297121021214,285440.840538348,581484.874559255,11.3925018310547
-88,8,11.5299987792969,0.0271263949256442,285440.262489422,581486.789202678,11.5299987792969
-88,10,11.5675010681152,0.0261882605283405,285439.684440496,581488.703846102,11.5675010681152
-88,12,11.6199989318848,0.0285647814367636,285439.10639157,581490.618489525,11.6199989318848
-88,14,11.6224975585938,0.0171845089834595,285438.528342644,581492.533132949,11.6224975585938
-88,16,11.6699981689453,0.0159166414545203,285437.950293718,581494.447776372,11.6699981689453
-88,18,11.7174987792969,0.0203112957617375,285437.372244791,581496.362419796,11.7174987792969
-88,20,11.8549995422363,0.0275274447827451,285436.794195865,581498.277063219,11.8549995422363
-88,22,11.8649978637695,0.0161007436614758,285436.216146939,581500.191706643,11.8649978637695
-88,24,11.8699989318848,0.00915309633043289,285435.638098013,581502.106350066,11.8699989318848
-88,26,11.9300003051758,0.0164173840973055,285435.060049087,581504.02099349,11.9300003051758
-88,28,11.9850006103516,0.00911904213160605,285434.482000161,581505.935636913,11.9850006103516
-88,30,12.0374984741211,0.00927578328680146,285433.903951235,581507.850280337,12.0374984741211
-88,32,12.2024993896484,0.00913194718579843,285433.325902309,581509.76492376,12.2024993896484
-88,34,12.3225021362305,0.0115362395935153,285432.747853383,581511.679567184,12.3225021362305
